,timestamp,item_id,spend,target_value
8114,12/14/2018 17:00,2.38433e+16,685.54,0
8115,12/15/2018 0:00,2.38433e+16,685.54,0
8380,12/15/2018 0:00,2.38433e+16,107.15,0
7797,12/15/2018 0:00,2.38433e+16,99.76,0
8116,12/15/2018 17:00,2.38433e+16,654.77,0
8381,12/15/2018 17:00,2.38433e+16,103.38,0
7798,12/15/2018 17:00,2.38433e+16,99.11,0
8117,12/16/2018 0:00,2.38433e+16,654.77,0
8382,12/16/2018 0:00,2.38433e+16,103.38,0
7799,12/16/2018 0:00,2.38433e+16,99.11,0
8118,12/16/2018 17:00,2.38433e+16,651.69,0
8383,12/16/2018 17:00,2.38433e+16,93.78,0
7800,12/16/2018 17:00,2.38433e+16,101.04,0
8384,12/17/2018 0:00,2.38433e+16,93.78,0
7801,12/17/2018 0:00,2.38433e+16,101.04,0
8119,12/17/2018 0:00,2.38433e+16,651.69,0
7802,12/17/2018 17:00,2.38433e+16,97.4,0
8120,12/17/2018 17:00,2.38433e+16,638.96,0
8385,12/17/2018 17:00,2.38433e+16,97.92,0
7803,12/18/2018 0:00,2.38433e+16,97.4,0
8121,12/18/2018 0:00,2.38433e+16,638.96,0
8386,12/18/2018 0:00,2.38433e+16,97.92,0
8387,12/18/2018 17:00,2.38433e+16,90.7,0
7804,12/18/2018 17:00,2.38433e+16,98.13,0
8122,12/18/2018 17:00,2.38433e+16,640.03,0
8123,12/19/2018 0:00,2.38433e+16,640.03,0
7805,12/19/2018 0:00,2.38433e+16,98.13,0
8388,12/19/2018 0:00,2.38433e+16,90.7,0
8389,12/19/2018 17:00,2.38433e+16,99.96,0
