20190901 213300;1.099130;1.099150;1.099110;1.099110;0
20190901 213400;1.099120;1.099150;1.099110;1.099120;0
20190901 213500;1.099130;1.099150;1.099120;1.099130;0
20190901 213600;1.099130;1.099200;1.099120;1.099150;0
20190901 213700;1.099170;1.099170;1.099120;1.099130;0
20190901 213800;1.099160;1.099250;1.099160;1.099190;0
20190901 213900;1.099190;1.099190;1.099190;1.099190;0
20190901 214000;1.099190;1.099210;1.099190;1.099210;0
20190901 214100;1.099210;1.099210;1.099210;1.099210;0
20190901 214200;1.099240;1.099250;1.099230;1.099240;0
20190901 214300;1.099240;1.099240;1.099230;1.099230;0
20190901 214400;1.099230;1.099250;1.099210;1.099220;0
20190901 214500;1.099250;1.099290;1.099240;1.099260;0
20190901 214600;1.099250;1.099250;1.099060;1.099080;0
20190901 214700;1.099060;1.099100;1.098990;1.099070;0
20190901 214800;1.099060;1.099090;1.099060;1.099090;0
20190901 214900;1.099090;1.099180;1.099080;1.099080;0
20190901 215000;1.099090;1.099130;1.099090;1.099130;0
20190901 215100;1.099150;1.099160;1.099100;1.099110;0
20190901 215200;1.099120;1.099200;1.099120;1.099200;0
20190901 215300;1.099210;1.099210;1.099180;1.099190;0
20190901 215400;1.099190;1.099280;1.099190;1.099270;0
20190901 215500;1.099260;1.099260;1.099140;1.099140;0
20190901 215600;1.099130;1.099130;1.099060;1.099100;0
20190901 215700;1.099090;1.099090;1.099040;1.099080;0
20190901 215800;1.099080;1.099090;1.099060;1.099090;0
20190901 215900;1.099090;1.099090;1.099080;1.099080;0
20190901 220000;1.099080;1.099080;1.098990;1.098990;0
20190901 220100;1.098990;1.099090;1.098990;1.099090;0
20190901 220200;1.099090;1.099090;1.099050;1.099090;0
20190901 220300;1.099090;1.099090;1.099030;1.099040;0
20190901 220400;1.099040;1.099080;1.099010;1.099040;0
20190901 220500;1.099050;1.099090;1.099020;1.099020;0
20190901 220600;1.099040;1.099040;1.099010;1.099010;0
20190901 220700;1.099010;1.099050;1.098990;1.099010;0
20190901 220800;1.099020;1.099020;1.098970;1.098990;0
20190901 220900;1.098990;1.098990;1.098860;1.098860;0
20190901 221000;1.098840;1.098860;1.098840;1.098850;0
20190901 221100;1.098840;1.098860;1.098810;1.098860;0
20190901 221200;1.098880;1.098880;1.098870;1.098880;0
20190901 221300;1.098890;1.098950;1.098880;1.098880;0
20190901 221400;1.098880;1.098890;1.098850;1.098880;0
20190901 221500;1.098860;1.098860;1.098760;1.098780;0
20190901 221600;1.098780;1.098780;1.098730;1.098740;0
20190901 221700;1.098740;1.098770;1.098720;1.098740;0
20190901 221800;1.098740;1.098780;1.098740;1.098780;0
20190901 221900;1.098780;1.098880;1.098780;1.098880;0
20190901 222000;1.098870;1.098870;1.098870;1.098870;0
20190901 222100;1.098870;1.098870;1.098860;1.098860;0
20190901 222200;1.098860;1.098860;1.098860;1.098860;0
20190901 222300;1.098860;1.098860;1.098820;1.098820;0
